steps,success,collided,spawn_rate,strategy,start_pos
251,False,False,0.01,uniform,"(1, 28)"
154,True,False,0.01,uniform,"(28, 1)"
251,False,False,0.01,uniform,"(28, 28)"
71,True,False,0.01,uniform,"(1, 28)"
144,True,False,0.01,uniform,"(28, 1)"
165,False,True,0.01,uniform,"(28, 28)"
251,False,False,0.01,uniform,"(1, 28)"
251,False,False,0.01,uniform,"(28, 1)"
251,False,False,0.01,uniform,"(28, 28)"
251,False,False,0.01,uniform,"(1, 28)"
251,False,False,0.01,uniform,"(28, 1)"
119,True,False,0.01,uniform,"(28, 28)"
251,False,False,0.01,uniform,"(1, 28)"
34,True,False,0.01,uniform,"(28, 1)"
251,False,False,0.01,uniform,"(28, 28)"
251,False,False,0.01,uniform,"(1, 28)"
251,False,False,0.01,uniform,"(28, 1)"
194,True,False,0.01,uniform,"(28, 28)"
251,False,False,0.01,uniform,"(1, 28)"
251,False,False,0.01,uniform,"(28, 1)"
229,True,False,0.01,uniform,"(28, 28)"
165,False,True,0.01,uniform,"(1, 28)"
231,True,False,0.01,uniform,"(28, 1)"
251,False,False,0.01,uniform,"(28, 28)"
251,False,False,0.01,uniform,"(1, 28)"
251,False,False,0.01,uniform,"(28, 1)"
248,False,True,0.01,uniform,"(28, 28)"
251,False,False,0.01,uniform,"(1, 28)"
251,False,False,0.01,uniform,"(28, 1)"
251,False,False,0.01,uniform,"(28, 28)"
251,False,False,0.01,uniform,"(1, 28)"
251,False,False,0.01,uniform,"(28, 1)"
251,False,False,0.01,uniform,"(28, 28)"
243,True,False,0.01,uniform,"(1, 28)"
251,False,False,0.01,uniform,"(28, 1)"
81,True,False,0.01,uniform,"(28, 28)"
247,True,False,0.01,uniform,"(1, 28)"
42,True,False,0.01,uniform,"(28, 1)"
251,False,False,0.01,uniform,"(28, 28)"
125,False,True,0.01,uniform,"(1, 28)"
204,False,True,0.01,uniform,"(28, 1)"
251,False,False,0.01,uniform,"(28, 28)"
182,False,True,0.01,uniform,"(1, 28)"
251,False,False,0.01,uniform,"(28, 1)"
251,False,False,0.01,uniform,"(28, 28)"
251,False,False,0.01,uniform,"(1, 28)"
230,True,False,0.01,uniform,"(28, 1)"
181,False,True,0.01,uniform,"(28, 28)"
251,False,False,0.01,uniform,"(1, 28)"
251,False,False,0.01,uniform,"(28, 1)"
247,False,True,0.01,uniform,"(28, 28)"
251,False,False,0.01,uniform,"(1, 28)"
251,False,False,0.01,uniform,"(28, 1)"
65,False,True,0.01,uniform,"(28, 28)"
251,False,False,0.01,uniform,"(1, 28)"
251,False,False,0.01,uniform,"(28, 1)"
251,False,False,0.01,uniform,"(28, 28)"
28,True,False,0.01,uniform,"(1, 28)"
152,False,True,0.01,uniform,"(28, 1)"
251,False,False,0.01,uniform,"(28, 28)"
251,False,False,0.01,uniform,"(1, 28)"
64,True,False,0.01,uniform,"(28, 1)"
115,True,False,0.01,uniform,"(28, 28)"
65,False,True,0.01,uniform,"(1, 28)"
95,False,True,0.01,uniform,"(28, 1)"
251,False,False,0.01,uniform,"(28, 28)"
251,False,False,0.01,uniform,"(1, 28)"
251,False,False,0.01,uniform,"(28, 1)"
251,False,False,0.01,uniform,"(28, 28)"
197,False,True,0.01,uniform,"(1, 28)"
251,False,False,0.01,uniform,"(28, 1)"
135,True,False,0.01,uniform,"(28, 28)"
251,False,False,0.01,uniform,"(1, 28)"
251,False,False,0.01,uniform,"(28, 1)"
59,False,True,0.01,uniform,"(28, 28)"
45,True,False,0.01,uniform,"(1, 28)"
81,True,False,0.01,uniform,"(28, 1)"
124,True,False,0.01,uniform,"(28, 28)"
251,False,False,0.01,uniform,"(1, 28)"
93,True,False,0.01,uniform,"(28, 1)"
251,False,False,0.01,uniform,"(28, 28)"
51,False,True,0.01,uniform,"(1, 28)"
251,False,False,0.01,uniform,"(28, 1)"
251,False,False,0.01,uniform,"(28, 28)"
90,True,False,0.01,uniform,"(1, 28)"
251,False,False,0.01,uniform,"(28, 1)"
251,False,False,0.01,uniform,"(28, 28)"
251,False,False,0.01,uniform,"(1, 28)"
251,False,False,0.01,uniform,"(28, 1)"
8,False,True,0.01,uniform,"(28, 28)"
251,False,False,0.01,straight_focus,"(1, 28)"
41,True,False,0.01,straight_focus,"(28, 1)"
121,True,False,0.01,straight_focus,"(28, 28)"
17,False,True,0.01,straight_focus,"(1, 28)"
128,True,False,0.01,straight_focus,"(28, 1)"
251,False,False,0.01,straight_focus,"(28, 28)"
251,False,False,0.01,straight_focus,"(1, 28)"
58,False,True,0.01,straight_focus,"(28, 1)"
251,False,False,0.01,straight_focus,"(28, 28)"
223,False,True,0.01,straight_focus,"(1, 28)"
47,True,False,0.01,straight_focus,"(28, 1)"
251,False,False,0.01,straight_focus,"(28, 28)"
204,False,True,0.01,straight_focus,"(1, 28)"
107,True,False,0.01,straight_focus,"(28, 1)"
139,True,False,0.01,straight_focus,"(28, 28)"
251,False,False,0.01,straight_focus,"(1, 28)"
40,False,True,0.01,straight_focus,"(28, 1)"
119,True,False,0.01,straight_focus,"(28, 28)"
251,False,False,0.01,straight_focus,"(1, 28)"
71,False,True,0.01,straight_focus,"(28, 1)"
70,False,True,0.01,straight_focus,"(28, 28)"
251,False,False,0.01,straight_focus,"(1, 28)"
143,True,False,0.01,straight_focus,"(28, 1)"
251,False,False,0.01,straight_focus,"(28, 28)"
251,False,False,0.01,straight_focus,"(1, 28)"
251,False,False,0.01,straight_focus,"(28, 1)"
251,False,False,0.01,straight_focus,"(28, 28)"
164,False,True,0.01,straight_focus,"(1, 28)"
250,False,True,0.01,straight_focus,"(28, 1)"
251,False,False,0.01,straight_focus,"(28, 28)"
251,False,False,0.01,straight_focus,"(1, 28)"
251,False,False,0.01,straight_focus,"(28, 1)"
251,False,False,0.01,straight_focus,"(28, 28)"
59,False,True,0.01,straight_focus,"(1, 28)"
115,False,True,0.01,straight_focus,"(28, 1)"
251,False,False,0.01,straight_focus,"(28, 28)"
